states,words,logit_seq,reset_bool,ind_seq
[[ 0.19097394 -0.09505924]],0,[[-1.7576039  1.8415155]],1,0
[[ 0.433297   -0.18470673]],0,[[-3.108325   3.3445272]],0,0
[[ 0.6242228  -0.26870605]],0,[[-4.232374  4.568792]],0,0
[[ 0.7272502  -0.32167214]],0,[[-4.873118   5.2523146]],0,0
[[ 0.77308047 -0.34395948]],0,[[-5.1524425  5.5525527]],0,0
[[ 0.9317134 -0.1954437]],1,[[-5.1093693  5.9157014]],0,0
[[ 0.8352148  -0.40928942]],0,[[-5.6882834  6.0648017]],0,0
[[ 0.9477528  -0.21482845]],1,[[-5.2589717  6.0554843]],0,0
[[ 0.8418084  -0.41137317]],0,[[-5.7234454  6.1046333]],0,0
[[ 0.8008264  -0.34886298]],0,[[-5.283107   5.7085853]],0,0
[[ 0.815353   -0.36097756]],0,[[-5.3942447  5.818881 ]],0,0
[[ 0.96059245 -0.19841103]],1,[[-5.235809   6.0717053]],0,0
[[ 0.85094875 -0.41804752]],0,[[-5.789131  6.171192]],0,0
[[ 0.9583587  -0.21640006]],1,[[-5.3075633  6.114221 ]],0,0
[[ 0.8479154  -0.41445732]],0,[[-5.7611775  6.144984 ]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[0.5871993  0.13628563]],1,[[-2.2748225  3.1668396]],0,0
[[0.6049225 0.3037602]],1,[[-1.5947621  2.7553728]],0,0
[[0.32383516 0.5073382 ]],1,[[0.41773146 0.71355623]],0,0
[[-0.31492218  0.66723937]],1,[[ 3.6362484 -3.0194285]],0,0
[[-0.7200773  0.7234005]],1,[[ 5.475147  -5.2516055]],0,0
[[-0.8613645  0.7431695]],1,[[ 6.1172385 -6.030571 ]],0,0
[[-0.9130898   0.75833315]],1,[[ 6.3877816 -6.3394976]],0,0
[[-0.93511117  0.77280813]],1,[[ 6.538851 -6.495044]],0,0
[[-0.91900134  0.7036197 ]],0,[[ 6.166084 -6.205691]],0,0
[[-0.92477506  0.65884376]],0,[[ 5.98832  -6.100955]],0,0
[[-0.9257605  0.6155597]],0,[[ 5.7984695 -5.976297 ]],0,0
[[-0.9241348  0.5726159]],0,[[ 5.599911  -5.8393564]],0,0
[[-0.97849065  0.61611223]],1,[[ 6.0075603 -6.2465672]],0,0
[[-0.9229698  0.5465535]],0,[[ 5.478708 -5.755339]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[0.5871993  0.13628563]],1,[[-2.2748225  3.1668396]],0,0
[[0.6049225 0.3037602]],1,[[-1.5947621  2.7553728]],0,0
[[0.32383516 0.5073382 ]],1,[[0.41773146 0.71355623]],0,0
[[-0.25741166  0.029427  ]],0,[[ 0.5564675 -0.8155852]],0,0
[[-0.09491992 -0.03270456]],0,[[-0.3582998   0.19831678]],0,0
[[ 0.33113408 -0.00664236]],1,[[-1.9111104  2.2906163]],0,0
[[0.6009107  0.07505809]],1,[[-2.6025639  3.4201248]],0,0
[[0.6799894  0.23292758]],1,[[-2.2059047  3.3499882]],0,0
[[ 0.5064512  -0.30057222]],0,[[-3.9135103  4.0643167]],0,0
[[ 0.6456919  -0.28169456]],0,[[-4.3746266  4.717072 ]],0,0
[[ 0.87287146 -0.17550458]],1,[[-4.789569   5.5562143]],0,0
[[0.91006446 0.02526428]],1,[[-4.036795  5.144181]],0,0
[[0.8974034 0.2642265]],1,[[-2.917745   4.3637557]],0,0
[[ 0.7419392  -0.38294473]],0,[[-5.204891  5.510714]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[0.5871993  0.13628563]],1,[[-2.2748225  3.1668396]],0,0
[[ 0.53141654 -0.2775536 ]],0,[[-3.9083178  4.1225305]],0,0
[[ 0.6635527  -0.28834918]],0,[[-4.474394  4.827995]],0,0
[[ 0.8789005  -0.17450236]],1,[[-4.8087077  5.583925 ]],0,0
[[0.91291165 0.02835846]],1,[[-4.034104   5.1494145]],0,0
[[ 0.8371696 -0.4238045]],0,[[-5.7609034  6.1182466]],0,0
[[ 0.7791968  -0.33782664]],0,[[-5.148962   5.5653367]],0,0
[[ 0.94599175 -0.19461581]],1,[[-5.1616125  5.9859567]],0,0
[[0.9522296  0.03066223]],1,[[-4.1778574  5.342804 ]],0,0
[[ 0.8691801  -0.43767378]],0,[[-5.948403  6.322865]],0,0
[[ 0.78984725 -0.34102294]],0,[[-5.2049994  5.629167 ]],0,0
[[ 0.95477057 -0.19469634]],1,[[-5.1963716  6.0309186]],0,0
[[ 0.8475578  -0.41675135]],0,[[-5.770043   6.1500344]],0,0
[[ 0.8006712  -0.34814963]],0,[[-5.2793064  5.705658 ]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[0.5871993  0.13628563]],1,[[-2.2748225  3.1668396]],0,0
[[0.6049225 0.3037602]],1,[[-1.5947621  2.7553728]],0,0
[[0.32383516 0.5073382 ]],1,[[0.41773146 0.71355623]],0,0
[[-0.31492218  0.66723937]],1,[[ 3.6362484 -3.0194285]],0,0
[[-0.6981505  0.4717982]],0,[[ 4.2632213 -4.386111 ]],0,0
[[-0.82417697  0.49333033]],1,[[ 4.8534064 -5.0926185]],0,0
[[-0.87863857  0.5063275 ]],1,[[ 5.124975 -5.408993]],0,0
[[-0.8711091   0.43107864]],0,[[ 4.758707 -5.145192]],0,0
[[-0.93395936  0.46771055]],1,[[ 5.16892  -5.575109]],0,0
[[-0.88785136  0.40013406]],0,[[ 4.685822 -5.13777 ]],0,0
[[-0.9503918   0.43782806]],1,[[ 5.099574 -5.569291]],0,0
[[-0.94897157  0.44780466]],1,[[ 5.138658  -5.5919456]],0,0
[[-0.89150524  0.38228932]],0,[[ 4.620278 -5.102921]],0,0
[[-0.9556117  0.4198747]],1,[[ 5.03968   -5.5420938]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[0.5871993  0.13628563]],1,[[-2.2748225  3.1668396]],0,0
[[0.6049225 0.3037602]],1,[[-1.5947621  2.7553728]],0,0
[[0.32383516 0.5073382 ]],1,[[0.41773146 0.71355623]],0,0
[[-0.31492218  0.66723937]],1,[[ 3.6362484 -3.0194285]],0,0
[[-0.7200773  0.7234005]],1,[[ 5.475147  -5.2516055]],0,0
[[-0.8613645  0.7431695]],1,[[ 6.1172385 -6.030571 ]],0,0
[[-0.9130898   0.75833315]],1,[[ 6.3877816 -6.3394976]],0,0
[[-0.91042614  0.6856711 ]],0,[[ 6.0521564 -6.108234 ]],0,0
[[-0.95721793  0.72627604]],1,[[ 6.4172263 -6.4682503]],0,0
[[-0.9587028  0.7411483]],1,[[ 6.4896035 -6.5203714]],0,0
[[-0.9592966  0.755324 ]],1,[[ 6.5553713 -6.565866 ]],0,0
[[-0.9594916  0.7693085]],1,[[ 6.6187205 -6.6087575]],0,0
[[-0.9275654  0.702033 ]],0,[[ 6.19254  -6.244564]],0,0
[[-0.9285793   0.65899307]],0,[[ 6.0038943 -6.1207814]],0,1
[[0.37828708 0.03854631]],1,[[-1.8936396  2.3954358]],1,0
[[ 0.46079347 -0.2005906 ]],0,[[-3.2871528  3.5321863]],0,0
[[ 0.76820636 -0.11286397]],1,[[-4.099111  4.835365]],0,0
