state,digit,transition,lbl
[ 0.13206244 -0.11918972],0,0,0
[ 0.34561756 -0.21056522],0,1,0
[ 0.563428  -0.2945517],0,2,0
[ 0.734821   -0.36572182],0,3,0
[ 0.88198715 -0.22172727],1,4,0
[ 0.92876685 -0.03083932],1,5,0
[0.9246424  0.21961878],1,6,0
[0.7681548 0.5235727],1,7,0
[-0.13586408  0.76845175],1,8,1
