states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[ 0.91036296 -0.23970783],1,[-4.4310765  5.3854756],0,0,[0.00005454 0.99994546]
[ 0.9413724  -0.04101642],1,[-3.9275956  5.0528398],0,0,[0.00012583 0.99987417]
[0.9354728  0.21212938],1,[-3.102937   4.3902493],0,0,[0.00055656 0.99944344]
[ 0.9032711 -0.4548793],0,[-5.083186   5.8850055],0,0,[0.00001724 0.99998276]
[ 0.9403857 -0.2565802],1,[-4.605577  5.585454],0,0,[0.0000375 0.9999625]
[ 0.95536786 -0.04896433],1,[-4.0092025  5.146268 ],0,0,[0.00010563 0.99989437]
[0.9476707  0.20809086],1,[-3.1649241  4.4644713],0,0,[0.00048572 0.99951428]
[0.8245137 0.5192435],1,[-1.6836954  3.0405254],0,0,[0.00879951 0.99120049]
[-0.07269095  0.777255  ],1,[ 2.7522018 -2.321418 ],0,0,[0.99377922 0.00622078]
[-0.67472667  0.81693506],1,[ 5.3065634 -5.5864124],0,0,[0.99998141 0.00001859]
[-0.8542824   0.71718204],0,[ 5.715375 -6.281793],0,1,[0.99999384 0.00000616]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[ 0.6082928  -0.31564894],0,[-3.4526658  3.9864058],0,0,[0.00058749 0.99941251]
[ 0.8349736  -0.19523697],1,[-3.9862397  4.878067 ],0,0,[0.00014133 0.99985867]
[ 0.9090368 -0.4453075],0,[-5.076166   5.8914456],0,0,[0.00001725 0.99998275]
[ 0.94555235 -0.4551343 ],0,[-5.254571  6.107991],0,0,[0.00001162 0.99998838]
[ 0.9565287  -0.24978356],1,[-4.6492014  5.6533904],0,0,[0.00003354 0.99996646]
[ 0.9632019  -0.03503634],1,[-3.9967449  5.152717 ],0,0,[0.00010627 0.99989373]
[ 0.9781747 -0.4962147],0,[-5.516144  6.382036],0,0,[0.0000068 0.9999932]
[ 0.9700493  -0.27431706],1,[-4.7813635  5.785701 ],0,0,[0.00002575 0.99997425]
[ 0.97203207 -0.05772901],1,[-4.10416   5.255769],0,0,[0.0000861 0.9999139]
[0.9652763  0.20423432],1,[-3.2481523  4.5666776],0,0,[0.00040354 0.99959646]
[ 0.9563994  -0.46910977],0,[-5.3425446  6.1999006],0,0,[0.00000971 0.99999029]
[ 0.9710323  -0.46336043],0,[-5.3833904  6.262509 ],0,0,[0.00000875 0.99999125]
[ 0.96709794 -0.24962814],1,[-4.69135    5.7085843],0,1,[0.00003043 0.99996957]
[ 0.13206244 -0.11918972],0,[-0.90985847  0.9918554 ],1,0,[0.12991462 0.87008538]
[ 0.34561756 -0.21056522],0,[-2.0604942  2.3428736],0,0,[0.01208815 0.98791185]
[ 0.563428  -0.2945517],0,[-3.2049212  3.6978347],0,0,[0.001004 0.998996]
[ 0.734821   -0.36572182],0,[-4.1215377  4.77672  ],0,0,[0.00013661 0.99986339]
[ 0.84607404 -0.41445392],0,[-4.7245426  5.48336  ],0,0,[0.00003688 0.99996312]
[ 0.9206329  -0.24005188],1,[-4.4735975  5.4403415],0,0,[0.00004948 0.99995052]
[ 0.9456737  -0.03755864],1,[-3.9340096  5.0668325],0,0,[0.00012329 0.99987671]
[ 0.9646657 -0.4890979],0,[-5.439129   6.2932396],0,0,[0.00000803 0.99999197]
[ 0.9759702 -0.4642794],0,[-5.4062195  6.2907686],0,0,[0.00000832 0.99999168]
[ 0.9693728  -0.24908896],1,[-4.698822   5.7192025],0,0,[0.00002989 0.99997011]
[ 0.9870462 -0.490916 ],0,[-5.5351715  6.41547  ],0,0,[0.00000646 0.99999354]
[ 0.9890768  -0.47029015],0,[-5.4781117  6.37469  ],0,0,[0.00000712 0.99999288]
[ 0.9906305  -0.47395617],0,[-5.495978  6.392007],0,0,[0.00000687 0.99999313]
[ 0.9915399 -0.4738531],0,[-5.4993205  6.396532 ],0,0,[0.00000682 0.99999318]
[ 0.97778505 -0.2528539 ],1,[-4.744671  5.772834],0,1,[0.00002706 0.99997294]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[ 0.48824212 -0.23060523],0,[-2.699292   3.1429076],0,0,[0.00289405 0.99710595]
[ 0.6760365 -0.3326803],0,[-3.779849   4.3851485],0,0,[0.00028436 0.99971564]
[ 0.8603691 -0.2027894],1,[-4.1125875  5.03046  ],0,0,[0.00010695 0.99989305]
[ 0.92388964 -0.4543965 ],0,[-5.1648417  5.9922295],0,0,[0.00001427 0.99998573]
[ 0.95373213 -0.45815012],0,[-5.297112  6.158531],0,0,[0.00001059 0.99998941]
[ 0.9705309 -0.4662262],0,[-5.3904343  6.2670217],0,0,[0.00000865 0.99999135]
[ 0.9798972 -0.4696259],0,[-5.4389763  6.3247585],0,0,[0.00000778 0.99999222]
